rank_test_f1,mean_test_f1,std_test_f1,mean_test_recall,mean_test_precision,mean_test_roc_auc,mean_test_accuracy,mean_train_f1,std_train_f1,mean_fit_time,params,f1_generalization_gap
1,0.8842269282636975,0.00526002377405942,0.8752191894127378,0.894330550070177,0.9539555202364373,0.893348438258618,0.997104295208805,0.0003937128530478936,1.0308093547821044,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.11287736694510742
2,0.8840772843777662,0.006270390762343951,0.8829363110008271,0.8865056333679815,0.9522213487195789,0.8921490352628076,0.9629993481022685,0.002333136547485984,0.45754733085632326,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.07892206372450228
3,0.8837125057204954,0.008945919932075986,0.8713813068651778,0.897645331124459,0.9538332735220474,0.8933502364640089,0.9971032563017352,0.0003945747389091243,0.4824366092681885,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.11339075058123982
4,0.8833223191727777,0.0058596412460432965,0.8816459884201819,0.886170569889735,0.9521351194842065,0.8915484346622071,0.9629858391634618,0.0019911576662696197,0.49017701148986814,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.0796635199906841
5,0.8831311674227799,0.007534426751994997,0.8752274607113317,0.8923617246710371,0.9540383692515162,0.8921526316735898,0.9971032563017352,0.0003945747389091243,0.9581362724304199,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.11397208887895538
6,0.8830352578534615,0.005471541737153472,0.8790818858560794,0.8883676538515249,0.9522064496347695,0.8915484346622071,0.9634333712233459,0.001430191924415898,0.8877498149871826,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 400}",0.08039811336988445
6,0.8830352578534615,0.005471541737153472,0.8790818858560794,0.8883676538515249,0.9522423919602833,0.8915484346622071,0.9631065016832995,0.0015280896363541008,0.9145308494567871,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 400}",0.08007124382983799
8,0.8828272915299633,0.004944514699064952,0.8726468155500413,0.8942871088898098,0.9531584744934201,0.8921508334681987,0.997104295208805,0.0003937128530478936,0.49862847328186033,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.11427700367884164
9,0.8719079442220004,0.005973953253562221,0.8932258064516129,0.8525532989849653,0.9469491162493091,0.8777633921346496,0.9472450852473265,0.004045606785473145,0.4543629169464111,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.07533714102532618
10,0.8715984540305781,0.007272859711110932,0.8906534325889165,0.8546962525343824,0.9463631624210258,0.8777633921346496,0.9478337187567613,0.005099579893866101,0.8695795059204101,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.07623526472618314
11,0.8713184411847459,0.005472045749567305,0.8893631100082713,0.8547639182522904,0.943039262085527,0.8777687867508227,0.9242351512578695,0.00419553378347016,0.8550513744354248,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 400}",0.052916710073123596
12,0.8684493667891979,0.012626298041651735,0.8880645161290321,0.8509291436663384,0.9431609995992332,0.8747621873370376,0.9244524477345859,0.0032408713398832775,0.4338921070098877,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",0.05600308094538797
